gene_name,gene_id,num_codewords,num_probesets,full_name,location,cell_type,cellchat_pathway
CCR2,ENSG00000121807,3,3,C-C chemokine receptor type 2 (C-C CKR-2) (CC-CKR-2) (CCR-2) (CCR2) (Monocyte chemoattractant protein 1 receptor) (MCP-1-R) (CD antigen CD192),Cell membrane,classical monocyte;IgG plasmablast;IgA plasmablast;monocyte,CCL
CCR3,ENSG00000183625,3,3,C-C chemokine receptor type 3 (C C CKR3) (C-C CKR-3) (CC-CKR-3) (CCR-3) (CCR3) (CKR 3) (CKR3) (Eosinophil eotaxin receptor) (CD antigen CD193),Cell membrane,"CD8-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD8-positive, alpha-beta T cell",CCL
CCR4,ENSG00000183813,3,3,C-C chemokine receptor type 4 (C-C CKR-4) (CC-CKR-4) (CCR-4) (CCR4) (K5-5) (CD antigen CD194),Cell membrane,"CD4-positive helper T cell;T follicular helper cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;central memory CD4-positive, alpha-beta T cell;effector memory CD4-positive, alpha-beta T cell;effector CD4-positive, alpha-beta T cell;memory T cell;regulatory T cell",CCL
CCR5,ENSG00000160791,3,3,C-C chemokine receptor type 5 (C-C CKR-5) (CC-CKR-5) (CCR-5) (CCR5) (CHEMR13) (HIV-1 fusion coreceptor) (CD antigen CD195),Cell membrane,,CCL
CCR6,ENSG00000112486,3,3,C-C chemokine receptor type 6 (C-C CKR-6) (CC-CKR-6) (CCR-6) (Chemokine receptor-like 3) (CKR-L3) (DRY6) (G-protein coupled receptor 29) (GPR-CY4) (GPRCY4) (LARC receptor) (CD antigen CD196),Cell membrane,"Langerhans cell;T cell;CD4-positive helper T cell;T-helper 1 cell;T-helper 17 cell;activated CD4-positive, alpha-beta T cell, human;CD4-positive, alpha-beta memory T cell;effector memory CD4-positive, alpha-beta T cell;mucosal invariant T cell;memory T cell;regulatory T cell;group 3 innate lymphoid cell",CCL
CCR7,ENSG00000126353,2,2,C-C chemokine receptor type 7 (C-C CKR-7) (CC-CKR-7) (CCR-7) (BLR2) (CDw197) (Epstein-Barr virus-induced G-protein coupled receptor 1) (EBI1) (EBV-induced G-protein coupled receptor 1) (MIP-3 beta receptor) (CD antigen CD197),Cell membrane,"leukocyte;myeloid dendritic cell, human;mature conventional dendritic cell;IgG-negative class switched memory B cell;B-1a B cell;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;naive thymus-derived CD4-positive, alpha-beta T cell;activated CD4-positive, alpha-beta T cell;activated CD4-positive, alpha-beta T cell, human;CD4-positive, alpha-beta memory T cell;effector CD4-positive, alpha-beta T cell;naive thymus-derived CD8-positive, alpha-beta T cell;mature T cell;regulatory T cell;naive T cell;DN3 thymocyte",CCL
CCR8,ENSG00000179934,3,3,C-C chemokine receptor type 8 (C-C CKR-8) (CC-CKR-8) (CCR-8) (CC chemokine receptor CHEMR1) (CMKBRL2) (Chemokine receptor-like 1) (CKR-L1) (GPR-CY6) (GPRCY6) (TER1) (CD antigen CDw198),Cell membrane,"effector memory CD8-positive, alpha-beta T cell",CCL
CCR9,ENSG00000173585,4,4,C-C chemokine receptor type 9 (C-C CKR-9) (CC-CKR-9) (CCR-9) (G-protein coupled receptor 28) (GPR-9-6) (CD antigen CDw199),Cell membrane,"immature alpha-beta T cell;CD8-positive, alpha-beta memory T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;gamma-delta T cell;intraepithelial lymphocyte;immature T cell;thymocyte",CCL
CCRL2,ENSG00000121797,3,3,C-C chemokine receptor-like 2 (Chemokine receptor CCR11) (Chemokine receptor X) (Putative MCP-1 chemokine receptor),Cell membrane,,
CCT2,ENSG00000166226,3,3,T-complex protein 1 subunit beta (TCP-1-beta) (CCT-beta),Cytoplasm,erythroid progenitor cell;primitive red blood cell,
CCT3,ENSG00000163468,6,3,T-complex protein 1 subunit gamma (TCP-1-gamma) (CCT-gamma) (hTRiC5),Cytoplasm,fallopian tube secretory epithelial cell;mast cell;mucosal type mast cell,
CCT5,ENSG00000150753,4,3,T-complex protein 1 subunit epsilon (TCP-1-epsilon) (CCT-epsilon),Cytoplasm,mast cell;mucosal type mast cell;erythroid progenitor cell,
CCT6A,ENSG00000146731,2,2,T-complex protein 1 subunit zeta (TCP-1-zeta) (Acute morphine dependence-related protein 2) (CCT-zeta-1) (HTR3) (Tcp20),Cytoplasm,"activated CD4-positive, alpha-beta T cell;proerythroblast",
CCT7,ENSG00000135624,3,3,T-complex protein 1 subunit eta (TCP-1-eta) (CCT-eta) (HIV-1 Nef-interacting protein),Cytoplasm,,
CCT8,ENSG00000156261,3,3,T-complex protein 1 subunit theta (TCP-1-theta) (CCT-theta) (Chaperonin containing T-complex polypeptide 1 subunit 8) (Renal carcinoma antigen NY-REN-15),Cytoplasm,professional antigen presenting cell;dendritic cell;basophil mast progenitor cell;early lymphoid progenitor,
CD101,ENSG00000134256,3,3,Immunoglobulin superfamily member 2 (IgSF2) (Cell surface glycoprotein V7) (Glu-Trp-Ile EWI motif-containing protein 101) (EWI-101) (CD antigen CD101),Membrane,,
CD109,ENSG00000156535,3,3,CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109),Cell membrane,respiratory basal cell;basal cell of epithelium of bronchus;basal epithelial cell of tracheobronchial tree,
CD14,ENSG00000170458,3,2,Monocyte differentiation antigen CD14 (Myeloid cell-specific leucine-rich glycoprotein) (CD antigen CD14),Cell membrane,"acinar cell of salivary gland;phagocyte;macrophage;elicited macrophage;inflammatory macrophage;alternatively activated macrophage;microglial cell;kidney resident macrophage;colon macrophage;Hofbauer cell;classical monocyte;CD14-positive, CD16-negative classical monocyte;blood cell;granulocyte;dendritic cell, human;myeloid leukocyte;monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;intermediate monocyte;myeloid cell;salivary gland cell",
CD151,ENSG00000177697,2,2,CD151 antigen (GP27) (Membrane glycoprotein SFA-1) (Platelet-endothelial tetraspan antigen 3) (PETA-3) (Tetraspanin-24) (Tspan-24) (CD antigen CD151),Membrane,pancreatic ductal cell;myometrial cell;bronchial smooth muscle cell,
CD160,ENSG00000117281,3,3,CD160 antigen (Natural killer cell receptor BY55) (CD antigen CD160),Secreted,"CD8-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta memory T cell;CD8-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD8-positive, alpha-beta T cell;CD8-alpha-beta-positive, alpha-beta intraepithelial T cell;mature NK T cell;type I NK T cell;mucosal invariant T cell;gamma-delta T cell;mature gamma-delta T cell;CD8-alpha alpha positive, gamma-delta intraepithelial T cell;intraepithelial lymphocyte;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;ILC1, human",CD160
CD163,ENSG00000177575,2,2,Scavenger receptor cysteine-rich type 1 protein M130 (Hemoglobin scavenger receptor) (CD antigen CD163),Secreted,"phagocyte;macrophage;elicited macrophage;inflammatory macrophage;alternatively activated macrophage;tissue-resident macrophage;Kupffer cell;alveolar macrophage;colon macrophage;lung macrophage;Hofbauer cell;mononuclear phagocyte;classical monocyte;hematopoietic cell;leukocyte;professional antigen presenting cell;dendritic cell, human;myeloid leukocyte;monocyte;CD14-positive, CD16-positive monocyte;intermediate monocyte;immature innate lymphoid cell;myeloid cell",
CD177,ENSG00000204936,2,2,CD177 antigen (Human neutrophil alloantigen 2a) (HNA-2a) (NB1 glycoprotein) (NB1 GP) (Polycythemia rubra vera protein 1) (PRV-1) (CD antigen CD177),Cell membrane,blood cell;granulocyte;neutrophil;immature neutrophil;myelocyte;granulocytopoietic cell,PECAM1
CD180,ENSG00000134061,3,3,CD180 antigen (Lymphocyte antigen 64) (Radioprotective 105 kDa protein) (CD antigen CD180),Cell membrane,,
CD19,ENSG00000177455,3,6,B-lymphocyte antigen CD19 (B-lymphocyte surface antigen B4) (Differentiation antigen CD19) (T-cell surface antigen Leu-12) (CD antigen CD19),Cell membrane,professional antigen presenting cell;mature B cell;memory B cell;unswitched memory B cell;class switched memory B cell;IgG memory B cell;naive B cell;B-1a B cell;B-1b B cell;follicular B cell;germinal center B cell;mononuclear cell;lymphocyte;regulatory T cell;B cell;immature B cell;precursor B cell;small pre-B-II cell;large pre-B-II cell;pre-B-I cell;late pro-B cell;transitional stage B cell;early T lineage precursor,
CD1A,ENSG00000158477,3,3,T-cell surface glycoprotein CD1a (T-cell surface antigen T6/Leu-6) (hTa1 thymocyte antigen) (CD antigen CD1a),Cell membrane,"Langerhans cell;alpha-beta T cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;intraepithelial lymphocyte;immature T cell;thymocyte;double negative thymocyte",
CD1B,ENSG00000158485,3,3,T-cell surface glycoprotein CD1b (CD antigen CD1b),Cell membrane,"lymphocyte;T cell;alpha-beta T cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;gamma-delta T cell;intraepithelial lymphocyte;immature T cell;thymocyte;double negative thymocyte",
CD1C,ENSG00000158481,3,3,T-cell surface glycoprotein CD1c (CD antigen CD1c),Cell membrane,"mononuclear phagocyte;professional antigen presenting cell;dendritic cell;conventional dendritic cell;Langerhans cell;myeloid dendritic cell;myeloid dendritic cell, human;CD1c-positive myeloid dendritic cell;dendritic cell, human;unswitched memory B cell;B-1a B cell;B-1b B cell;follicular B cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;immature T cell;thymocyte;transitional stage B cell",
CD1D,ENSG00000158473,3,3,Antigen-presenting glycoprotein CD1d (R3G1) (CD antigen CD1d),Cell membrane,mononuclear phagocyte;dendritic cell;conventional dendritic cell;Langerhans cell,CEACAM
CD1E,ENSG00000158488,3,3,"T-cell surface glycoprotein CD1e, membrane-associated (hCD1e) (R2G1) (CD antigen CD1e)",Lysosome lumen,"mononuclear phagocyte;Langerhans cell;dendritic cell, human;lymphocyte;T cell;alpha-beta T cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;gamma-delta T cell;intraepithelial lymphocyte;immature T cell;thymocyte;double negative thymocyte",
CD2,ENSG00000116824,3,3,T-cell surface antigen CD2 (Erythrocyte receptor) (LFA-2) (LFA-3 receptor) (Rosette receptor) (T-cell surface antigen T11/Leu-5) (CD antigen CD2),Cell membrane,"hematopoietic cell;leukocyte;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD4-positive helper T cell;T-helper 1 cell;T-helper 17 cell;T follicular helper cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;memory regulatory T cell;activated CD4-positive, alpha-beta T cell;activated CD4-positive, alpha-beta T cell, human;effector memory CD4-positive, alpha-beta T cell;CD4-positive, alpha-beta cytotoxic T cell;effector CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell, human;CD8-positive, alpha-beta memory T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;CD8-alpha-beta-positive, alpha-beta intraepithelial T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;mature NK T cell;type I NK T cell;CD8-alpha alpha positive, gamma-delta intraepithelial T cell;mature T cell;regulatory T cell;cytotoxic T cell;exhausted T cell;intraepithelial lymphocyte;DN3 thymocyte;DN1 thymic pro-T cell",
CD200,ENSG00000091972,3,3,OX-2 membrane glycoprotein (CD antigen CD200),Cell membrane,prostate gland microvascular endothelial cell;pancreatic PP cell;endothelial cell of lymphatic vessel;hematopoietic multipotent progenitor cell;early lymphoid progenitor,CD200
CD207,ENSG00000116031,3,3,C-type lectin domain family 4 member K (Langerin) (CD antigen CD207),Membrane,mononuclear phagocyte;Langerhans cell,
CD209,ENSG00000090659,3,3,CD209 antigen (C-type lectin domain family 4 member L) (Dendritic cell-specific ICAM-3-grabbing non-integrin 1) (DC-SIGN) (DC-SIGN1) (CD antigen CD209),Secreted,blood vessel endothelial cell;endothelial cell of lymphatic vessel;mononuclear phagocyte,CEACAM;ICAM
CD22,ENSG00000012124,3,3,B-cell receptor CD22 (B-lymphocyte cell adhesion molecule) (BL-CAM) (Sialic acid-binding Ig-like lectin 2) (Siglec-2) (T-cell surface antigen Leu-14) (CD antigen CD22),Cell membrane,"professional antigen presenting cell;dendritic cell, human;mature B cell;memory B cell;unswitched memory B cell;class switched memory B cell;IgG memory B cell;IgG-negative class switched memory B cell;naive B cell;B-1b B cell;follicular B cell;germinal center B cell;B cell;immature B cell;transitional stage B cell",CD45
CD226,ENSG00000150637,3,3,CD226 antigen (DNAX accessory molecule 1) (DNAM-1) (CD antigen CD226),Cell membrane,platelet;megakaryocyte,NECTIN;PVR
CD244,ENSG00000122223,3,3,Natural killer cell receptor 2B4 (NK cell activation-inducing ligand) (NAIL) (NK cell type I receptor protein 2B4) (NKR2B4) (h2B4) (SLAM family member 4) (SLAMF4) (Signaling lymphocytic activation molecule 4) (CD antigen CD244),Membrane,innate lymphoid cell;natural killer cell,
CD247,ENSG00000198821,3,3,T-cell surface glycoprotein CD3 zeta chain (T-cell receptor T3 zeta chain) (CD antigen CD247),Cell membrane,"hematopoietic cell;leukocyte;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;activated CD8-positive, alpha-beta T cell, human;CD8-positive, alpha-beta cytokine secreting effector T cell;mature NK T cell;gamma-delta T cell;mature gamma-delta T cell;mature T cell;exhausted T cell;intraepithelial lymphocyte;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;decidual natural killer cell, human;ILC1, human;group 3 innate lymphoid cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human",
CD248,ENSG00000174807,3,3,Endosialin (Tumor endothelial marker 1) (CD antigen CD248),Membrane,tracheobronchial smooth muscle cell;decidual cell;connective tissue cell;fibroblast;reticular cell;pulmonary interstitial fibroblast;pancreatic stellate cell;fibroblast of lung;bronchus fibroblast of lung;skin fibroblast;myofibroblast cell;stromal cell;stromal cell of ovary;interstitial cell of ovary;adventitial cell;mesenchymal cell,
CD27,ENSG00000139193,3,3,CD27 antigen (CD27L receptor) (T-cell activation antigen CD27) (T14) (Tumor necrosis factor receptor superfamily member 7) (CD antigen CD27),Membrane,"leukocyte;mature B cell;follicular B cell;germinal center B cell;plasmablast;mononuclear cell;lymphocyte;T cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;memory regulatory T cell;activated CD4-positive, alpha-beta T cell, human;naive thymus-derived CD8-positive, alpha-beta T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;mature T cell;regulatory T cell;naive T cell;exhausted T cell;intraepithelial lymphocyte;DN3 thymocyte;DN4 thymocyte;double negative T regulatory cell;late pro-B cell;plasma cell;IgG plasma cell;IgM plasma cell;IgA plasma cell",CD70
CD274,ENSG00000120217,3,3,Programmed cell death 1 ligand 1 (PD-L1) (PDCD1 ligand 1) (Programmed death ligand 1) (hPD-L1) (B7 homolog 1) (B7-H1) (CD antigen CD274),Cell membrane,,CD80;PD-L1
CD276,ENSG00000103855,3,3,CD276 antigen (4Ig-B7-H3) (B7 homolog 3) (B7-H3) (Costimulatory molecule) (CD antigen CD276),Membrane,extravillous trophoblast;pancreatic stellate cell,CD276
CD28,ENSG00000178562,3,3,T-cell-specific surface glycoprotein CD28 (TP44) (CD antigen CD28),Membrane,"T cell;alpha-beta T cell;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;CD4-positive helper T cell;T-helper 1 cell;T follicular helper cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD4-positive, alpha-beta T cell;effector CD4-positive, alpha-beta T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;mature T cell;regulatory T cell;cytotoxic T cell;intraepithelial lymphocyte;DN4 thymocyte;double negative T regulatory cell",CD80;CD86;ICOS
CD2AP,ENSG00000198087,3,3,CD2-associated protein (Adapter protein CMS) (Cas ligand with multiple SH3 domains),Cytoplasm,papillary tips cell,
CD2BP2,ENSG00000169217,3,3,CD2 antigen cytoplasmic tail-binding protein 2 (CD2 cytoplasmic domain-binding protein 2) (CD2 tail-binding protein 2) (U5 snRNP 52K protein) (U5-52K),Cytoplasm;Nucleus,,
CD300A,ENSG00000167851,3,3,CMRF35-like molecule 8 (CLM-8) (CD300 antigen-like family member A) (CMRF-35-H9) (CMRF35-H9) (CMRF35-H) (IRC1/IRC2) (Immunoglobulin superfamily member 12) (IgSF12) (Inhibitory receptor protein 60) (IRp60) (NK inhibitory receptor) (CD antigen CD300a),Cell membrane,"colon macrophage;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;decidual natural killer cell, human;ILC1, human",
CD300C,ENSG00000167850,3,3,CMRF35-like molecule 6 (CLM-6) (CD300 antigen-like family member C) (CMRF35-A1) (CMRF-35) (Immunoglobulin superfamily member 16) (IgSF16) (CD antigen CD300c),Cell membrane,,
CD300E,ENSG00000186407,3,3,CMRF35-like molecule 2 (CLM-2) (CD300 antigen-like family member E) (CMRF35-A5) (Immune receptor expressed on myeloid cells 2) (IREM-2) (Polymeric immunoglobulin receptor 2) (PIgR-2) (PIgR2) (Poly-Ig receptor 2) (CD antigen CD300e),Cell membrane,"phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;myeloid leukocyte;monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;intermediate monocyte;mononuclear cell;mature NK T cell;myeloid cell",
CD302,ENSG00000241399,3,3,CD302 antigen (C-type lectin BIMLEC) (C-type lectin domain family 13 member A) (DEC205-associated C-type lectin 1) (Type I transmembrane C-type lectin receptor DCL-1) (CD antigen CD302),Membrane,conventional dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;connective tissue cell;fibroblast;fibroblast of lung,
CD320,ENSG00000167775,2,2,CD320 antigen (8D6 antigen) (FDC-signaling molecule 8D6) (FDC-SM-8D6) (Transcobalamin receptor) (TCblR) (CD antigen CD320),Cell membrane,gut endothelial cell;cerebral cortex endothelial cell;plasmablast,
CD33,ENSG00000105383,3,3,Myeloid cell surface antigen CD33 (Sialic acid-binding Ig-like lectin 3) (Siglec-3) (gp67) (CD antigen CD33),Peroxisome,eosinophil;dendritic cell;conventional dendritic cell;macrophage dendritic cell progenitor;common myeloid progenitor,
CD34,ENSG00000174059,3,3,Hematopoietic progenitor cell antigen CD34 (CD antigen CD34),Membrane,"hematopoietic stem cell;CD34-positive, CD38-negative hematopoietic stem cell;interstitial cell of Cajal;blood vessel endothelial cell;endothelial tip cell;vein endothelial cell;vasa recta descending limb cell;retinal blood vessel endothelial cell;endothelial cell of artery;capillary endothelial cell;gut endothelial cell;endothelial cell of uterus;hematopoietic multipotent progenitor cell;early T lineage precursor;common lymphoid progenitor;keratocyte;adventitial cell",CD34;SELL
CD36,ENSG00000135218,2,2,Platelet glycoprotein 4 (Fatty acid translocase) (FAT) (Glycoprotein IIIb) (GPIIIB) (Leukocyte differentiation antigen CD36) (PAS IV) (PAS-4) (Platelet collagen receptor) (Platelet glycoprotein IV) (GPIV) (Thrombospondin receptor) (CD antigen CD36),Cell membrane,"vein endothelial cell;capillary endothelial cell;dermis microvascular lymphatic vessel endothelial cell;Hofbauer cell;cardiac muscle cell;regular atrial cardiac myocyte;regular ventricular cardiac myocyte;muscle precursor cell;cardiac muscle myoblast;dendritic cell, human;erythroid lineage cell;erythroblast;fat cell;white fat cell;adipocyte of breast",THBS
CD38,ENSG00000004468,3,3,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,Cell surface,"plasmablast;IgG plasmablast;IgA plasmablast;alpha-beta T cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;mature alpha-beta T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;mucosal invariant T cell;mature T cell;immature T cell;thymocyte;precursor B cell;small pre-B-II cell;large pre-B-II cell;pre-B-I cell;late pro-B cell;plasma cell;IgG plasma cell;IgM plasma cell;IgA plasma cell;erythroid progenitor cell, mammalian;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell",PECAM2
CD3E,ENSG00000198851,3,5,T-cell surface glycoprotein CD3 epsilon chain (T-cell surface antigen T3/Leu-4 epsilon chain) (CD antigen CD3e),Cell membrane,"hematopoietic cell;leukocyte;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;CD4-positive helper T cell;T-helper 2 cell;T-helper 22 cell;T follicular helper cell;naive thymus-derived CD4-positive, alpha-beta T cell;effector memory CD4-positive, alpha-beta T cell;effector CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;naive thymus-derived CD8-positive, alpha-beta T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;effector memory CD8-positive, alpha-beta T cell;effector CD8-positive, alpha-beta T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;mature NK T cell;mucosal invariant T cell;gamma-delta T cell;mature gamma-delta T cell;mature T cell;regulatory T cell;naive T cell;exhausted T cell;intraepithelial lymphocyte;immature T cell;thymocyte;double negative thymocyte;double negative T regulatory cell",
CD3EAP,ENSG00000117877,3,3,CD3EAP protein,,,
CD3G,ENSG00000160654,3,5,T-cell surface glycoprotein CD3 gamma chain (T-cell receptor T3 gamma chain) (CD antigen CD3g),Cell membrane,"hematopoietic cell;leukocyte;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;T-helper 2 cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;memory regulatory T cell;activated CD4-positive, alpha-beta T cell, human;CD4-positive, alpha-beta cytotoxic T cell;effector CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;activated CD8-positive, alpha-beta T cell, human;CD8-positive, alpha-beta memory T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;CD8-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD8-positive, alpha-beta T cell;effector CD8-positive, alpha-beta T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;mature NK T cell;mucosal invariant T cell;gamma-delta T cell;mature gamma-delta T cell;mature T cell;intraepithelial lymphocyte;immature T cell;thymocyte;double negative thymocyte;DN3 thymocyte;double negative T regulatory cell;DN1 thymic pro-T cell",
CD4,ENSG00000010610,3,6,T-cell surface glycoprotein CD4 (T-cell surface antigen T4/Leu-3) (CD antigen CD4),Cell membrane,"macrophage;colon macrophage;dendritic cell;plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;dendritic cell, human;lymphocyte;T cell;T-helper 1 cell;T follicular helper cell;effector memory CD4-positive, alpha-beta T cell;regulatory T cell;cytotoxic T cell",IL16;MHC-II
CD40,ENSG00000101017,3,3,Tumor necrosis factor receptor superfamily member 5 (B-cell surface antigen CD40) (Bp50) (CD40L receptor) (CDw40) (CD antigen CD40),Secreted,"medullary thymic epithelial cell;dendritic cell;myeloid dendritic cell, human;memory B cell;class switched memory B cell;IgG memory B cell;IgG-negative class switched memory B cell;B-1a B cell;germinal center B cell",CD40
CD40LG,ENSG00000102245,3,3,CD40 ligand (CD40-L) (T-cell antigen Gp39) (TNF-related activation protein) (TRAP) (Tumor necrosis factor ligand superfamily member 5) (CD antigen CD154),Cell membrane,"T cell;alpha-beta T cell;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;CD4-positive helper T cell;T-helper 1 cell;T-helper 17 cell;T follicular helper cell;activated CD4-positive, alpha-beta T cell;activated CD4-positive, alpha-beta T cell, human;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;central memory CD4-positive, alpha-beta T cell;effector memory CD4-positive, alpha-beta T cell;effector CD4-positive, alpha-beta T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;type I NK T cell;mucosal invariant T cell;mature T cell;memory T cell;group 3 innate lymphoid cell",CD40
CD44,ENSG00000026508,2,2,CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44),Cell membrane,intestinal crypt stem cell of large intestine;pancreatic ductal cell;pancreatic acinar cell;elicited macrophage;alternatively activated macrophage;hematopoietic cell;granulocyte;leukocyte;myeloid leukocyte;mast cell;B cell;myeloid cell;early T lineage precursor;fibroblast of breast,MIF;SPP1;GALECTIN;COLLAGEN;FN1;LAMININ;SELE
CD46,ENSG00000117335,4,3,Membrane cofactor protein (TLX) (Trophoblast leukocyte common antigen) (CD antigen CD46),Cytoplasmic vesicle,intrahepatic cholangiocyte;urothelial cell;bladder urothelial cell;intestinal tuft cell;tuft cell of colon;salivary gland cell;serous cell of epithelium of trachea;bladder cell,CD46
CD47,ENSG00000196776,3,3,Leukocyte surface antigen CD47 (Antigenic surface determinant protein OA3) (Integrin-associated protein) (IAP) (Protein MER6) (CD antigen CD47),Cell membrane,fallopian tube secretory epithelial cell;pro-T cell,THBS;SIRP
CD5,ENSG00000110448,3,3,T-cell surface glycoprotein CD5 (Lymphocyte antigen T1/Leu-1) (CD antigen CD5),Cell membrane,"mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;CD4-positive helper T cell;T-helper 22 cell;T follicular helper cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;naive thymus-derived CD4-positive, alpha-beta T cell;activated CD4-positive, alpha-beta T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;central memory CD4-positive, alpha-beta T cell;effector memory CD4-positive, alpha-beta T cell;CD4-positive, alpha-beta cytotoxic T cell;effector CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta T cell;CD8-alpha-beta-positive, alpha-beta intraepithelial T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;CD8-alpha alpha positive, gamma-delta intraepithelial T cell;mature T cell;memory T cell;regulatory T cell;DN4 thymocyte;double negative T regulatory cell",
CD55,ENSG00000196352,2,2,Complement decay-accelerating factor (CD antigen CD55),Cell membrane,epithelial cell of lacrimal sac;type I pneumocyte;respiratory goblet cell;tracheal goblet cell;paneth cell of epithelium of small intestine;urothelial cell;bladder urothelial cell;conjunctival epithelial cell;neutrophil;serous cell of epithelium of trachea;bladder cell,ADGRE
CD58,ENSG00000116815,3,3,Lymphocyte function-associated antigen 3 (Ag3) (Surface glycoprotein LFA-3) (CD antigen CD58),Cell membrane,"myeloid dendritic cell, human",
