gene,gene_id,num_codewords,num_probesets,full_name,location,cell_type,cellchat_pathway,immune_specificity,immune_pathway,exclude_recommended,detection_pct_0041323,detection_pct_0041326
CYSLTR1,ENSG00000173198,3,3,Cysteinyl leukotriene receptor 1 (CysLTR1) (Cysteinyl leukotriene D4 receptor) (LTD4 receptor) (G-protein coupled receptor HG55) (HMTMF81),Cell membrane,mast cell;mucosal type mast cell;common dendritic progenitor,CysLTs,1,FALSE,no,0.158,0.142
DAZAP1,ENSG00000071626,3,3,DAZ-associated protein 1 (Deleted in azoospermia-associated protein 1),Cytoplasm,DN4 thymocyte,,1,FALSE,no,14.777,14.572
DDX3X,ENSG00000215301,2,2,ATP-dependent RNA helicase DDX3X,Cell membrane,immature natural killer cell,,1,FALSE,no,22.671,16.399
DIP2A,ENSG00000160305,3,3,Disco-interacting protein 2 homolog A (DIP2 homolog A),Cell membrane,"CD8-positive, alpha-beta cytokine secreting effector T cell",,1,FALSE,no,7.827,8.904
DISP1,ENSG00000154309,3,3,Protein dispatched homolog 1,Membrane,central nervous system macrophage,,1,FALSE,no,1.199,1.081
DLEU1,ENSG00000176124,3,3,Leukemia-associated protein 1 (Deleted in lymphocytic leukemia 1) (HBV X-transactivated gene 6 protein) (HBV XAg-transactivated protein 6),,lung goblet cell;macrophage;tissue-resident macrophage;central nervous system macrophage,,1,FALSE,no,1.723,1.683
DLL1,ENSG00000198719,3,3,Delta-like protein 1 (Drosophila Delta homolog 1) (Delta1) (H-Delta-1),Apical cell membrane,small intestine goblet cell;group 3 innate lymphoid cell,NOTCH,1,FALSE,no,2.779,1.695
DMXL2,ENSG00000104093,3,3,DmX-like protein 2 (Rabconnectin-3),Cytoplasmic vesicle,Kupffer cell;immature innate lymphoid cell,,1,FALSE,no,4.26,5.239
DNTT,ENSG00000107447,3,3,DNA nucleotidylexotransferase,Nucleus,"immature alpha-beta T cell;double-positive, alpha-beta thymocyte;immature T cell;thymocyte;double negative thymocyte;late pro-B cell;hematopoietic precursor cell;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell;pro-T cell;early T lineage precursor",,0.833333333333333,FALSE,no,0.066,0.009
DTX1,ENSG00000135144,3,3,E3 ubiquitin-protein ligase DTX1,Cytoplasm;Nucleus,immature B cell;precursor B cell,,1,FALSE,no,1.584,1.907
DUSP6,ENSG00000139318,3,3,Dual specificity protein phosphatase 6,Cytoplasm,classical monocyte;monocyte;group 2 innate lymphoid cell,,1,FALSE,no,2.861,2.805
EBI3,ENSG00000105246,2,2,Interleukin-27 subunit beta (IL-27 subunit beta) (IL-27B) (Epstein-Barr virus-induced gene 3 protein) (EBV-induced gene 3 protein),Secreted,trophoblast giant cell;extravillous trophoblast,IL12,0.5,TRUE,no,0.201,0.209
EED,ENSG00000074266,3,3,Polycomb protein EED (hEED) (Embryonic ectoderm development protein) (WD protein associating with integrin cytoplasmic tails 1) (WAIT-1),Nucleus;Chromosome,"activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell",,1,FALSE,no,3.084,3.372
EIF2AK2,ENSG00000055332,3,3,"Interferon-induced, double-stranded RNA-activated protein kinase",Cytoplasm,"activated CD4-positive, alpha-beta T cell, human;activated CD8-positive, alpha-beta T cell, human",,1,FALSE,no,5.806,5.972
ERCC1,ENSG00000012061,3,3,DNA excision repair protein ERCC-1,Nucleus,macrophage dendritic cell progenitor,,1,FALSE,no,5.959,6.415
EREG,ENSG00000124882,2,2,Proepiregulin,Cell membrane,hematopoietic stem cell;colon macrophage;mononuclear phagocyte;common myeloid progenitor,EGF,1,FALSE,no,0.045,0.128
ERN1,ENSG00000178607,3,3,Serine/threonine-protein kinase/endoribonuclease IRE1 (Endoplasmic reticulum-to-nucleus signaling 1) (Inositol-requiring protein 1) (hIRE1p) (Ire1-alpha) (IRE1a),Endoplasmic reticulum membrane,mucosal invariant T cell;plasma cell;IgG plasma cell;IgA plasma cell,,1,FALSE,no,11.908,8.604
ETS1,ENSG00000134954,2,2,Protein C-ets-1 (p54),Nucleus,"prostate gland microvascular endothelial cell;lung endothelial cell;endothelial cell;endothelial cell of vascular tree;surface ectodermal cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;memory regulatory T cell;activated CD4-positive, alpha-beta T cell, human;effector memory CD4-positive, alpha-beta T cell;effector CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;naive thymus-derived CD8-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell, human;CD8-positive, alpha-beta cytokine secreting effector T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;mature NK T cell;type I NK T cell;regulatory T cell;naive T cell;DN3 thymocyte;DN4 thymocyte;immature natural killer cell;DN1 thymic pro-T cell",,0.791666666666667,FALSE,no,1.926,1.752
ETV3,ENSG00000117036,2,2,ETS translocation variant 3 (ETS domain transcriptional repressor PE1) (PE-1) (Mitogenic Ets transcriptional suppressor),Nucleus,Langerhans cell,,1,FALSE,no,1.788,1.575
EVI2B,ENSG00000185862,2,2,Protein EVI2B (Ecotropic viral integration site 2B protein homolog) (EVI-2B) (CD antigen CD361),Membrane,"alveolar macrophage;lung macrophage;hematopoietic cell;granulocyte;neutrophil;CD141-positive myeloid dendritic cell;IgG memory B cell;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;B cell;peripheral blood mononuclear cell;myeloid cell;myelocyte",,0.875,FALSE,no,1.248,1.857
EZH2,ENSG00000106462,3,3,Histone-lysine N-methyltransferase EZH2,Nucleus,"double-positive, alpha-beta thymocyte;DN4 thymocyte;precursor B cell;large pre-B-II cell;pro-B cell",,1,FALSE,no,1.851,2.194
FAM126B,ENSG00000155744,3,3,,,"CD14-positive, CD16-negative classical monocyte",,1,FALSE,no,3.415,3.628
FANCI,ENSG00000140525,3,3,Fanconi anemia group I protein (Protein FACI),Nucleus,DN4 thymocyte,,1,FALSE,no,1.182,1.045
FCN1,ENSG00000085265,2,2,Ficolin-1 (Collagen/fibrinogen domain-containing protein 1) (Ficolin-A) (Ficolin-alpha) (M-ficolin),Secreted,"phagocyte;colon macrophage;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;blood cell;granulocyte;neutrophil;immature neutrophil;leukocyte;dendritic cell;conventional dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;dendritic cell, human;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;intermediate monocyte;mononuclear cell;mature NK T cell;peripheral blood mononuclear cell;myeloid cell;promonocyte;promyelocyte;myelocyte;hematopoietic precursor cell;myeloid lineage restricted progenitor cell;granulocytopoietic cell",,0.8125,FALSE,no,0.158,0.296
FCRL1,ENSG00000163534,3,3,Fc receptor-like protein 1 (FcR-like protein 1) (FcRL1) (Fc receptor homolog 1) (FcRH1) (IFGP family protein 1) (hIFGP1) (Immune receptor translocation-associated protein 5) (CD antigen CD307a),Cell membrane,mature B cell;memory B cell;unswitched memory B cell;class switched memory B cell;IgG-negative class switched memory B cell;naive B cell;B-1b B cell;follicular B cell;mononuclear cell;lymphocyte;B cell;immature B cell;transitional stage B cell,,0.923076923076923,FALSE,no,0.025,0.028
FCRL2,ENSG00000132704,3,3,Fc receptor-like protein 2 (FcR-like protein 2) (FcRL2) (Fc receptor homolog 2) (FcRH2) (IFGP family protein 4) (Immunoglobulin receptor translocation-associated protein 4) (SH2 domain-containing phosphatase anchor protein 1) (CD antigen CD307b),Cell membrane,mature B cell;memory B cell;unswitched memory B cell;class switched memory B cell;IgG memory B cell;IgG-negative class switched memory B cell;naive B cell;follicular B cell;B cell;transitional stage B cell,,1,FALSE,no,0.03,0.023
FCRL5,ENSG00000143297,3,3,Fc receptor-like protein 5 (FcR-like protein 5) (FcRL5) (BXMAS1) (Fc receptor homolog 5) (FcRH5) (Immune receptor translocation-associated protein 2) (CD antigen CD307e),Cell membrane,mature B cell;memory B cell;unswitched memory B cell;class switched memory B cell;IgG memory B cell;IgG-negative class switched memory B cell;naive B cell;B-1a B cell;follicular B cell;B cell;immature B cell;transitional stage B cell;plasma cell;IgG plasma cell;IgM plasma cell;IgA plasma cell,,1,FALSE,no,0.034,0.099
FCRLA,ENSG00000132185,3,3,Fc receptor-like A (Fc receptor homolog expressed in B-cells) (Fc receptor-like and mucin-like protein 1) (Fc receptor-like protein) (Fc receptor-related protein X) (FcRX),Cytoplasm,professional antigen presenting cell;mature B cell;memory B cell;unswitched memory B cell;class switched memory B cell;IgG memory B cell;IgG-negative class switched memory B cell;naive B cell;B-1a B cell;B-1b B cell;follicular B cell;germinal center B cell;mononuclear cell;lymphocyte;B cell;immature B cell;precursor B cell;small pre-B-II cell;pre-B-I cell;transitional stage B cell,,0.95,FALSE,no,0.025,
FGF23,ENSG00000118972,3,3,Fibroblast growth factor 23 (FGF-23) (Phosphatonin) (Tumor-derived hypophosphatemia-inducing factor),Secreted,"phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;leukocyte;myeloid leukocyte;monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD8-positive, alpha-beta T cell;mature NK T cell;gamma-delta T cell;mature gamma-delta T cell;mature T cell;B cell;innate lymphoid cell;natural killer cell;myeloid cell",FGF,0.956521739130435,FALSE,no,0.02,
FGFBP2,ENSG00000137441,3,3,Fibroblast growth factor-binding protein 2 (FGF-BP2) (FGF-binding protein 2) (FGFBP-2) (37 kDa killer-specific secretory protein) (Ksp37) (HBp17-related protein) (HBp17-RP),Secreted,"hematopoietic cell;leukocyte;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD4-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;activated CD8-positive, alpha-beta T cell, human;CD8-positive, alpha-beta cytokine secreting effector T cell;CD8-positive, alpha-beta memory T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;CD8-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD8-positive, alpha-beta T cell;effector CD8-positive, alpha-beta T cell;mature NK T cell;mucosal invariant T cell;gamma-delta T cell;mature gamma-delta T cell;mature T cell;memory T cell;double negative T regulatory cell;innate lymphoid cell;natural killer cell;CD16-positive, CD56-dim natural killer cell, human;ILC1, human",,0.928571428571429,FALSE,no,0.091,0.085
FLOT2,ENSG00000132589,3,3,Flotillin-2 (Epidermal surface antigen) (ESA) (Membrane component chromosome 17 surface marker 1),Cell membrane,granulocyte;neutrophil,,1,FALSE,no,14.003,14.234
FLT3,ENSG00000122025,3,3,Receptor-type tyrosine-protein kinase FLT3,Membrane,"hematopoietic stem cell;CD34-positive, CD38-negative hematopoietic stem cell;dendritic cell;plasmacytoid dendritic cell, human;CD141-positive myeloid dendritic cell;conventional dendritic cell;hematopoietic multipotent progenitor cell;subcutaneous fat cell",FLT3,1,FALSE,no,0.744,0.665
FOLR2,ENSG00000165457,2,2,"Folate receptor beta (FR-beta) (Folate receptor 2) (Folate receptor, fetal/placental) (Placental folate-binding protein) (FBP)",Cell membrane,"macrophage;elicited macrophage;alternatively activated macrophage;microglial cell;Hofbauer cell;mononuclear phagocyte;professional antigen presenting cell;dendritic cell, human",,0.875,FALSE,no,0.685,0.585
FPR1,ENSG00000171051,2,2,fMet-Leu-Phe receptor (fMLP receptor) (N-formyl peptide receptor) (FPR) (N-formylpeptide chemoattractant receptor),Cell membrane,"phagocyte;macrophage;alveolar macrophage;microglial cell;lung macrophage;classical monocyte;CD14-positive, CD16-negative classical monocyte;blood cell;granulocyte;neutrophil;immature neutrophil;leukocyte;professional antigen presenting cell;myeloid leukocyte;monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;intermediate monocyte;myeloid cell",ANNEXIN;TAFA;CTSG,0.947368421052632,FALSE,no,0.751,0.982
FUCA1,ENSG00000179163,3,3,Tissue alpha-L-fucosidase,Lysosome,intermediate monocyte,,1,FALSE,no,4.735,4.577
FUT7,ENSG00000180549,3,3,"Alpha-(1,3)-fucosyltransferase 7",Golgi apparatus,"CD4-positive helper T cell;CD16-negative, CD56-bright natural killer cell, human",,1,FALSE,no,0.046,0.036
FYN,ENSG00000010810,2,2,Tyrosine-protein kinase Fyn,Cytoplasm,alpha-beta T cell;mature alpha-beta T cell;mucosal invariant T cell;mature T cell;immature natural killer cell;DN1 thymic pro-T cell;brown preadipocyte;fibro/adipogenic progenitor cell,,0.75,FALSE,no,2.617,3.046
FZD4,ENSG00000174804,3,3,Frizzled-4 (Fz-4) (hFz4) (FzE4) (CD antigen CD344),Cell membrane,white fat cell;subcutaneous fat cell,WNT;ncWNT,1,FALSE,no,4.318,5.094
GAB2,ENSG00000033327,2,2,GRB2-associated-binding protein 2 (GRB2-associated binder 2) (Growth factor receptor bound protein 2-associated protein 2) (pp100),Cytoplasm,tissue-resident macrophage;Kupffer cell;central nervous system macrophage;immature innate lymphoid cell;brown fat cell,,1,FALSE,no,1.279,1.862
GBP5,ENSG00000154451,2,2,Guanylate-binding protein 5,Cytoplasmic vesicle membrane,"memory regulatory T cell;CD4-positive, alpha-beta cytotoxic T cell;mucosal invariant T cell;gamma-delta T cell;mature gamma-delta T cell;regulatory T cell;exhausted T cell;ILC1, human;group 3 innate lymphoid cell",,1,FALSE,no,0.171,0.427
GFPT1,ENSG00000198380,3,3,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1,,intestine goblet cell;large intestine goblet cell;colon goblet cell;small intestine goblet cell;duodenum glandular cell,,0.8,FALSE,no,19.465,19.522
GIMAP5,ENSG00000196329,2,2,GTPase IMAP family member 5 (Immune-associated nucleotide-binding protein 5) (Immunity-associated nucleotide 4-like 1 protein) (Immunity-associated nucleotide 5 protein) (IAN-5) (hIAN5) (Immunity-associated protein 3),Lysosome membrane,"prostate gland microvascular endothelial cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;T follicular helper cell;naive thymus-derived CD4-positive, alpha-beta T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;central memory CD4-positive, alpha-beta T cell;effector memory CD4-positive, alpha-beta T cell;CD4-positive, alpha-beta cytotoxic T cell;naive thymus-derived CD8-positive, alpha-beta T cell;CD8-alpha-beta-positive, alpha-beta intraepithelial T cell;mucosal invariant T cell;mature T cell;memory T cell;naive T cell;exhausted T cell;double negative T regulatory cell",,0.857142857142857,FALSE,no,1.227,2.262
GNAI2,ENSG00000114353,2,2,Guanine nucleotide-binding protein G(i) subunit alpha-2 (Adenylate cyclase-inhibiting G alpha protein),Cytoplasm,"gut endothelial cell;surface ectodermal cell;CD141-positive myeloid dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;mature conventional dendritic cell;CD14-low, CD16-positive monocyte;promonocyte",,0.75,FALSE,no,12.549,12.454
GPATCH11,ENSG00000152133,2,2,G patch domain-containing protein 11 (Coiled-coil domain-containing protein 75),Chromosome,white fat cell,,1,FALSE,no,1.401,1.24
GPR174,ENSG00000147138,3,3,Probable G-protein coupled receptor 174,Cell membrane,"CD8-positive, alpha-beta memory T cell;common lymphoid progenitor",,1,FALSE,no,0.133,0.277
GPR39,ENSG00000183840,3,3,G-protein coupled receptor 39,Cell membrane,lung goblet cell,,1,FALSE,no,2.413,2.023
GRB2,ENSG00000177885,3,3,Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2),Nucleus,inflammatory macrophage;hematopoietic cell;leukocyte;conventional dendritic cell;intermediate monocyte,,1,FALSE,no,10.544,10.031
GRK2,ENSG00000173020,4,3,Beta-adrenergic receptor kinase 1 (Beta-ARK-1),Cytoplasm,DN4 thymocyte;promonocyte;promyelocyte;myeloid lineage restricted progenitor cell,,0.75,FALSE,no,10.422,12.279
GRN,ENSG00000030582,2,2,Progranulin (PGRN) (Acrogranin) (Epithelin precursor) (Glycoprotein of 88 Kda) (GP88) (Glycoprotein 88) (Granulin precursor) (PC cell-derived growth factor) (PCDGF) (Proepithelin) (PEPI),Secreted,"pancreatic A cell;alveolar macrophage;colon macrophage;lung macrophage;Hofbauer cell;classical monocyte;CD14-positive, CD16-negative classical monocyte;osteoclast;granulocyte;dendritic cell;conventional dendritic cell;myeloid dendritic cell;myeloid dendritic cell, human;CD1c-positive myeloid dendritic cell;dendritic cell, human;myeloid cell",GRN,0.8125,FALSE,no,12.503,14.058
GSK3B,ENSG00000082701,3,3,Glycogen synthase kinase-3 beta (GSK-3 beta),Cytoplasm,brown fat cell,,1,FALSE,no,4.448,4.135
GYG2,ENSG00000056998,3,3,Glycogenin-2 (GN-2) (GN2),,fat cell;subcutaneous fat cell,,1,FALSE,no,1.575,1.213
HAMP,ENSG00000105697,2,2,Hepcidin (Liver-expressed antimicrobial peptide 1) (LEAP-1) (Putative liver tumor regressor) (PLTR),Secreted,microglial cell;mature microglial cell,,1,FALSE,no,3.956,1.897
HBS1L,ENSG00000112339,2,2,HBS1-like protein,Cytoplasm,"CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell",,1,FALSE,no,6.166,5.469
HCK,ENSG00000101336,3,3,Tyrosine-protein kinase HCK,Cell membrane,"brush cell;intestinal tuft cell;tuft cell of colon;phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;granulocyte;leukocyte;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;peripheral blood mononuclear cell;myeloid cell",,0.882352941176471,FALSE,no,1.351,1.907
HELLS,ENSG00000119969,3,3,Lymphoid-specific helicase,Nucleus,common dendritic progenitor,,1,FALSE,no,0.719,0.796
HERC6,ENSG00000138642,3,3,Probable E3 ubiquitin-protein ligase HERC6,Cytoplasm,"activated CD4-positive, alpha-beta T cell, human",,1,FALSE,no,1.522,1.646
HK2,ENSG00000159399,3,3,Hexokinase-2,Mitochondrion outer membrane,white fat cell,,1,FALSE,no,0.796,1.377
HNRNPD,ENSG00000138668,4,3,Heterogeneous nuclear ribonucleoprotein D0 (hnRNP D0) (AU-rich element RNA-binding protein 1),Nucleus;Cytoplasm,common dendritic progenitor,,1,FALSE,no,39.813,37.74
HNRNPUL1,ENSG00000105323,4,3,Heterogeneous nuclear ribonucleoprotein U-like protein 1 (Adenovirus early region 1B-associated protein 5) (E1B-55 kDa-associated protein 5) (E1B-AP5),Nucleus,DN4 thymocyte,,1,FALSE,no,25.009,27.217
HPCAL1,ENSG00000115756,3,3,Hippocalcin-like protein 1 (Calcium-binding protein BDR-1) (HLP2) (Visinin-like protein 3) (VILIP-3),Membrane,intestine goblet cell;small intestine goblet cell;ileal goblet cell,,1,FALSE,no,11.421,11.381
HS3ST2,ENSG00000122254,3,3,Heparan sulfate glucosamine 3-O-sulfotransferase 2,Golgi apparatus membrane,immature innate lymphoid cell;alveolar type 2 fibroblast cell,,1,FALSE,no,0.068,0.021
HSD3B1,ENSG00000203857,3,3,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1 (3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type I) (3-beta-HSD I) (3-beta-hydroxy-5-ene steroid dehydrogenase) (3-beta-hydroxy-Delta(5)-steroid dehydrogenase),Endoplasmic reticulum membrane,trophoblast giant cell;syncytiotrophoblast cell,,1,FALSE,no,0.015,
HSPA8,ENSG00000109971,4,2,Heat shock cognate 71 kDa protein,Cytoplasm,"mature conventional dendritic cell;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;activated CD4-positive, alpha-beta T cell;mucosal invariant T cell;mature T cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human",,0.9,FALSE,no,70.479,61.871
HYOU1,ENSG00000149428,4,3,Hypoxia up-regulated protein 1 (150 kDa oxygen-regulated protein) (ORP-150) (170 kDa glucose-regulated protein) (GRP-170),Endoplasmic reticulum lumen,plasmablast;IgG plasmablast;IgA plasmablast,,1,FALSE,no,30.078,28.907
ICAM3,ENSG00000076662,3,3,Intercellular adhesion molecule 3 (ICAM-3) (CDw50) (ICAM-R) (CD antigen CD50),Membrane,"hematopoietic stem cell;CD34-positive, CD38-negative hematopoietic stem cell;hematopoietic cell;CD141-positive myeloid dendritic cell;B-1a B cell;T-helper 2 cell;group 2 innate lymphoid cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;hematopoietic precursor cell;hematopoietic multipotent progenitor cell;pro-T cell;early T lineage precursor",,0.833333333333333,FALSE,no,0.934,1.13
ICOS,ENSG00000163600,3,3,Inducible T-cell costimulator (Activation-inducible lymphocyte immunomediatory molecule) (CD antigen CD278),Secreted,"mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;CD4-positive helper T cell;T-helper 1 cell;T follicular helper cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;activated CD4-positive, alpha-beta T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD4-positive, alpha-beta T cell;effector CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;mature NK T cell;type I NK T cell;mature T cell;memory T cell;regulatory T cell;intraepithelial lymphocyte;double negative thymocyte;DN3 thymocyte;group 3 innate lymphoid cell",ICOS,0.888888888888889,FALSE,no,0.041,0.036
IFI44L,ENSG00000137959,3,3,Interferon-induced protein 44-like,Cytoplasm,"hematopoietic stem cell;CD34-positive, CD38-negative hematopoietic stem cell;vasa recta ascending limb cell;vasa recta descending limb cell;endothelial cell of artery;kidney capillary endothelial cell;plasmacytoid dendritic cell, human;dendritic cell, human;activated CD4-positive, alpha-beta T cell, human;activated CD8-positive, alpha-beta T cell, human;decidual natural killer cell, human",,0.818181818181818,FALSE,no,0.499,0.392
IFITM1,ENSG00000185885,1,1,Interferon-induced transmembrane protein 1 (Dispanin subfamily A member 2a) (DSPA2a) (Interferon-induced protein 17) (Interferon-inducible protein 9-27) (Leu-13 antigen) (CD antigen CD225),Cell membrane,"hematopoietic cell;leukocyte;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;T-helper 2 cell;T-helper 22 cell;T follicular helper cell;naive thymus-derived CD4-positive, alpha-beta T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;central memory CD4-positive, alpha-beta T cell;CD4-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;naive thymus-derived CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD8-positive, alpha-beta T cell;effector CD8-positive, alpha-beta T cell;mucosal invariant T cell;gamma-delta T cell;mature gamma-delta T cell;mature T cell;memory T cell;naive T cell;exhausted T cell;double negative T regulatory cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;ILC1, human;group 2 innate lymphoid cell;group 2 innate lymphoid cell, human",,0.864864864864865,FALSE,no,1.988,3.436
IFNA1,ENSG00000197919,3,3,Interferon-alpha1,,,IFN-I,,TRUE,no,0.061,0.01
IFNA17,ENSG00000234829,3,3,Interferon alpha-17 (IFN-alpha-17) (Interferon alpha-88) (Interferon alpha-I') (LeIF I) (Interferon alpha-T),Secreted,,IFN-I,,TRUE,no,0.076,0.012
IFNA2,ENSG00000188379,3,3,Interferon alpha-2 (IFN-alpha-2) (Interferon alpha-A) (LeIF A),Secreted,,IFN-I,,TRUE,no,0.09,0.018
IFNA7,ENSG00000214042,3,3,Interferon alpha-7 (IFN-alpha-7) (Interferon alpha-J) (LeIF J) (Interferon alpha-J1) (IFN-alpha-J1),Secreted,,IFN-I,,TRUE,no,0.063,0.012
IFNA8,ENSG00000120242,3,3,Interferon alpha-8 (IFN-alpha-8) (Interferon alpha-B) (LeIF B) (Interferon alpha-B2),Secreted,,IFN-I,,TRUE,no,0.087,0.013
IFNAR2,ENSG00000159110,3,3,Interferon alpha/beta receptor 2 (IFN-R-2) (IFN-alpha binding protein) (IFN-alpha/beta receptor 2) (Interferon alpha binding protein) (Type I interferon receptor 2),Secreted,plasma cell;IgG plasma cell;IgM plasma cell,IFN-I,1,TRUE,no,4.256,4.007
IFNG,ENSG00000111537,3,3,Interferon gamma (IFN-gamma) (Immune interferon),Secreted,"lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;T-helper 1 cell;activated CD4-positive, alpha-beta T cell;CD4-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;activated CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta memory T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;CD8-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD8-positive, alpha-beta T cell;effector CD8-positive, alpha-beta T cell;mature NK T cell;type I NK T cell;gamma-delta T cell;CD8-alpha alpha positive, gamma-delta intraepithelial T cell;mature T cell;regulatory T cell;exhausted T cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;ILC1, human;DN1 thymic pro-T cell",IFN-II,0.964285714285714,TRUE,no,0.062,0.022
IFNGR2,ENSG00000159128,3,3,Interferon gamma receptor 2 (IFN-gamma receptor 2) (IFN-gamma-R2) (Interferon gamma receptor accessory factor 1) (AF-1) (Interferon gamma receptor beta-chain) (IFN-gamma-R-beta) (Interferon gamma transducer 1),Cell membrane,epithelial cell of urethra,IFN-II,0,TRUE,no,7.387,6.266
IFNW1,ENSG00000177047,3,3,Interferon omega-1 (Interferon alpha-II-1),Secreted,,IFN-I,,TRUE,no,0.063,0.01
IGHE,ENSG00000211891,3,3,Immunoglobulin heavy constant epsilon (Ig epsilon chain C region) (Ig epsilon chain C region ND),Cell membrane,class switched memory B cell;follicular B cell;transitional stage B cell,,1,FALSE,no,0.011,
IKZF1,ENSG00000185811,2,2,DNA-binding protein Ikaros (Ikaros family zinc finger protein 1) (Lymphoid transcription factor LyF-1),Nucleus,"hematopoietic cell;immature neutrophil;naive regulatory T cell;activated CD4-positive, alpha-beta T cell, human;effector CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;type I NK T cell;DN3 thymocyte;DN4 thymocyte;immature natural killer cell;common dendritic progenitor;DN1 thymic pro-T cell;common lymphoid progenitor",,1,FALSE,no,1.121,1.479
IKZF3,ENSG00000161405,3,3,Zinc finger protein Aiolos (Ikaros family zinc finger protein 3),Nucleus,"mature B cell;memory B cell;IgG memory B cell;germinal center B cell;lymphocyte;alpha-beta T cell;mature alpha-beta T cell;memory regulatory T cell;effector CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;mature NK T cell;type I NK T cell;mucosal invariant T cell;mature T cell;B cell;DN1 thymic pro-T cell",,1,FALSE,no,0.187,0.43
