gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,HALLMARK,REACTOME,KEGG,n_pathways
AKTIP,,,no,True,ENSG00000166971,AKT-interacting protein (Ft1) (Fused toes protein homolog),Cytoplasm,,,1.825,2.195,8468,5304,0.266,,,,0
ALAD,,,no,True,ENSG00000148218,Delta-aminolevulinic acid dehydratase (ALADH),,erythrocyte;erythroid lineage cell;erythroblast;primitive red blood cell,,1.007,1.094,4672,2644,0.12,Fatty Acid Metabolism; heme Metabolism,Heme Biosynthesis R-HSA-189451; Immune System R-HSA-168256; Innate Immune System R-HSA-168249; Iron Uptake And Transport R-HSA-917937; Metabolism Of Porphyrins R-HSA-189445; Metabolism R-HSA-1430728; Neutrophil Degranulation R-HSA-6798695; Transport Of Small Molecules R-HSA-382551,Porphyrin and chlorophyll metabolism,11
ALDH1A2,,,no,False,,,,,,0.371,0.372,1721,899,0.004,KRAS Signaling Up,RA Biosynthesis Pathway R-HSA-5365859; Signal Transduction R-HSA-162582; Signaling By Nuclear Receptors R-HSA-9006931; Signaling By Retinoic Acid R-HSA-5362517,Retinol metabolism,6
ALDH1B1,,,no,True,ENSG00000137124,"Aldehyde dehydrogenase X, mitochondrial",Mitochondrion matrix,intestinal crypt stem cell;intestinal crypt stem cell of colon,,0.854,0.899,3963,2172,0.074,,Biological Oxidations R-HSA-211859; Ethanol Oxidation R-HSA-71384; Metabolism R-HSA-1430728; Phase I - Functionalization Of Compounds R-HSA-211945,"Arginine and proline metabolism; Ascorbate and aldarate metabolism; Fatty acid degradation; Glycerolipid metabolism; Glycolysis / Gluconeogenesis; Histidine metabolism; Lysine degradation; Pantothenate and CoA biosynthesis; Pyruvate metabolism; Tryptophan metabolism; Valine, leucine and isoleucine degradation; beta-Alanine metabolism",16
ALDH3A2,,,no,True,ENSG00000072210,Aldehyde dehydrogenase family 3 member A2,Microsome membrane,respiratory basal cell;basal cell of epithelium of trachea,,7.196,5.456,33396,13186,-0.399,Estrogen Response Late; Fatty Acid Metabolism,"Alpha-oxidation Of Phytanate R-HSA-389599; Class I Peroxisomal Membrane Protein Import R-HSA-9603798; Fatty Acid Metabolism R-HSA-8978868; Insertion Of Tail-Anchored Proteins Into Endoplasmic Reticulum Membrane R-HSA-9609523; Metabolism Of Lipids R-HSA-556833; Metabolism R-HSA-1430728; Peroxisomal Lipid Metabolism R-HSA-390918; Protein Localization R-HSA-9609507; RHO GTPase Cycle R-HSA-9012999; RND1 GTPase Cycle R-HSA-9696273; RND2 GTPase Cycle R-HSA-9696270; Signal Transduction R-HSA-162582; Signaling By Rho GTPases R-HSA-194315; Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542; Sphingolipid De Novo Biosynthesis R-HSA-1660661; Sphingolipid Metabolism R-HSA-428157","Arginine and proline metabolism; Ascorbate and aldarate metabolism; Fatty acid degradation; Glycerolipid metabolism; Glycolysis / Gluconeogenesis; Histidine metabolism; Lysine degradation; Pantothenate and CoA biosynthesis; Pyruvate metabolism; Tryptophan metabolism; Valine, leucine and isoleucine degradation; beta-Alanine metabolism",30
ALDH7A1,,,no,True,ENSG00000164904,Alpha-aminoadipic semialdehyde dehydrogenase (Alpha-AASA dehydrogenase),Mitochondrion,placental villous trophoblast,,5.777,3.25,26810,7855,-0.83,Glycolysis,Choline Catabolism R-HSA-6798163; Lysine Catabolism R-HSA-71064; Metabolism Of Amino Acids And Derivatives R-HSA-71291; Metabolism R-HSA-1430728,"Arginine and proline metabolism; Ascorbate and aldarate metabolism; Fatty acid degradation; Glycerolipid metabolism; Glycine, serine and threonine metabolism; Glycolysis / Gluconeogenesis; Histidine metabolism; Lysine degradation; Pyruvate metabolism; Tryptophan metabolism; Valine, leucine and isoleucine degradation; beta-Alanine metabolism",17
ALG11,,,no,True,ENSG00000253710,"GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase",Endoplasmic reticulum,,,4.198,5.285,19482,12774,0.332,,Asparagine N-linked Glycosylation R-HSA-446203; Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein R-HSA-446193; Disease R-HSA-1643685; Diseases Associated With N-glycosylation Of Proteins R-HSA-3781860; Diseases Of Glycosylation R-HSA-3781865; Diseases Of Metabolism R-HSA-5668914; Metabolism Of Proteins R-HSA-392499; Post-translational Protein Modification R-HSA-597592,N-Glycan biosynthesis; Various types of N-glycan biosynthesis,10
ALG13,,,no,True,ENSG00000101901,Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13,Endoplasmic reticulum,T follicular helper cell,,2.011,2.227,9335,5382,0.147,,Asparagine N-linked Glycosylation R-HSA-446203; Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein R-HSA-446193; Disease R-HSA-1643685; Diseases Associated With N-glycosylation Of Proteins R-HSA-3781860; Diseases Of Glycosylation R-HSA-3781865; Diseases Of Metabolism R-HSA-5668914; Metabolism Of Proteins R-HSA-392499; Post-translational Protein Modification R-HSA-597592,N-Glycan biosynthesis; Various types of N-glycan biosynthesis,10
ALG2,,,no,True,ENSG00000119523,"Alpha-1,3/1,6-mannosyltransferase ALG2",Membrane,,,2.33,2.174,10815,5255,-0.1,,Asparagine N-linked Glycosylation R-HSA-446203; Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein R-HSA-446193; Disease R-HSA-1643685; Diseases Associated With N-glycosylation Of Proteins R-HSA-3781860; Diseases Of Glycosylation R-HSA-3781865; Diseases Of Metabolism R-HSA-5668914; Metabolism Of Proteins R-HSA-392499; Post-translational Protein Modification R-HSA-597592,N-Glycan biosynthesis; Various types of N-glycan biosynthesis,10
ALG6,,,no,True,ENSG00000088035,"Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase",Endoplasmic reticulum membrane,,,0.592,0.813,2746,1965,0.458,,Asparagine N-linked Glycosylation R-HSA-446203; Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein R-HSA-446193; Disease R-HSA-1643685; Diseases Associated With N-glycosylation Of Proteins R-HSA-3781860; Diseases Of Glycosylation R-HSA-3781865; Diseases Of Metabolism R-HSA-5668914; Metabolism Of Proteins R-HSA-392499; Post-translational Protein Modification R-HSA-597592,N-Glycan biosynthesis,9
ALG9,,,no,True,ENSG00000086848,"Alpha-1,2-mannosyltransferase ALG9",Endoplasmic reticulum membrane,,,1.47,1.359,6822,3284,-0.113,,Asparagine N-linked Glycosylation R-HSA-446203; Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein R-HSA-446193; Disease R-HSA-1643685; Diseases Associated With N-glycosylation Of Proteins R-HSA-3781860; Diseases Of Glycosylation R-HSA-3781865; Diseases Of Metabolism R-HSA-5668914; Metabolism Of Proteins R-HSA-392499; Post-translational Protein Modification R-HSA-597592,N-Glycan biosynthesis; Various types of N-glycan biosynthesis,10
ALKBH5,,,no,True,ENSG00000091542,RNA demethylase ALKBH5,Nucleus speckle,,,3.467,2.767,16091,6687,-0.326,,DNA Damage Reversal R-HSA-73942; DNA Repair R-HSA-73894; Reversal Of Alkylation Damage By DNA Dioxygenases R-HSA-73943,,3
ALOX12,,,no,True,ENSG00000108839,Polyunsaturated fatty acid lipoxygenase ALOX12,Cytoplasm,platelet;megakaryocyte,,0.081,0.087,378,210,0.093,,Arachidonic Acid Metabolism R-HSA-2142753; Biosynthesis Of DHA-derived SPMs R-HSA-9018677; Biosynthesis Of Specialized Proresolving Mediators (SPMs) R-HSA-9018678; Fatty Acid Metabolism R-HSA-8978868; Metabolism Of Lipids R-HSA-556833; Metabolism R-HSA-1430728; Synthesis Of 12-Eicosatetraenoic Acid Derivatives R-HSA-2142712; Synthesis Of Lipoxins (LX) R-HSA-2142700,Arachidonic acid metabolism; Inflammatory mediator regulation of TRP channels; Serotonergic synapse,11
ALPK1,,,no,True,ENSG00000073331,Alpha-protein kinase 1,Cytoplasm,,,1.917,1.693,8895,4092,-0.179,,Alpha-protein Kinase 1 Signaling Pathway R-HSA-9645460; Cytokine Signaling In Immune System R-HSA-1280215; Immune System R-HSA-168256; Innate Immune System R-HSA-168249; Interleukin-1 Family Signaling R-HSA-446652; Interleukin-1 Signaling R-HSA-9020702; MyD88 Cascade Initiated On Plasma Membrane R-HSA-975871; MyD88 Dependent Cascade Initiated On Endosome R-HSA-975155; MyD88-independent TLR4 Cascade R-HSA-166166; MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058; Signaling By Interleukins R-HSA-449147; TAK1-dependent IKK And NF-kappa-B Activation R-HSA-445989; TRAF6 Mediated Induction Of NFkB And MAP Kinases Upon TLR7/8 Or 9 Activation R-HSA-975138; Toll Like Receptor 3 (TLR3) Cascade R-HSA-168164; Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016; Toll Like Receptor 7/8 (TLR7/8) Cascade R-HSA-168181; Toll Like Receptor 9 (TLR9) Cascade R-HSA-168138; Toll-like Receptor Cascades R-HSA-168898,,18
ALPK3,,,no,True,ENSG00000136383,Alpha-protein kinase 3,Nucleus,,,0.413,0.343,1918,829,-0.269,,,,0
ALPL,,,no,True,ENSG00000162551,"Alkaline phosphatase, tissue-nonspecific isozyme (AP-TNAP) (TNS-ALP) (TNSALP)",Cell membrane,epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;goblet cell;respiratory goblet cell;tracheal goblet cell;preosteoblast;blood cell;granulocyte;neutrophil;osteoblast;lung secretory cell,,0.52,0.6,2412,1451,0.208,,Metabolism Of Proteins R-HSA-392499; Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125; Post-translational Protein Modification R-HSA-597592,Folate biosynthesis; Thiamine metabolism,5
ALX1,,,no,True,ENSG00000180318,ALX homeobox protein 1 (Cartilage homeoprotein 1) (CART-1),Nucleus,mesangial cell,,0.032,0.073,150,176,1.172,,,,0
AMER1,,,no,True,ENSG00000184675,APC membrane recruitment protein 1 (Amer1) (Protein FAM123B) (Wilms tumor gene on the X chromosome protein),Cytoplasm;Cell membrane,,,0.74,0.592,3433,1432,-0.32,,APC Truncation Mutants Have Impaired AXIN Binding R-HSA-5467337; Beta-catenin Phosphorylation Cascade R-HSA-196299; CTNNB1 S33 Mutants Not Phosphorylated R-HSA-5358747; Degradation Of Beta-Catenin By Destruction Complex R-HSA-195253; Disassembly Of Destruction Complex And Recruitment Of AXIN To Membrane R-HSA-4641262; Disease R-HSA-1643685; Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202; Signal Transduction R-HSA-162582; Signaling By WNT In Cancer R-HSA-4791275; Signaling By WNT R-HSA-195721; TCF Dependent Signaling In Response To WNT R-HSA-201681,,11
AMIGO1,,,no,True,ENSG00000181754,Amphoterin-induced protein 1 (AMIGO-1) (Alivin-2),Cell membrane,,,0.45,0.342,2090,827,-0.396,Apical Junction,,,1
AMIGO3,,,no,True,ENSG00000176020,Amphoterin-induced protein 3 (AMIGO-3) (Alivin-3),Membrane,,,0.173,0.132,805,318,-0.399,,,,0
AMOT,,,no,True,ENSG00000126016,Angiomotin,Cell junction,,,5.042,1.183,23401,2859,-2.092,Hedgehog Signaling,Signal Transduction R-HSA-162582; Signaling By Hippo R-HSA-2028269,Hippo signaling pathway; Tight junction,5
ANAPC1,,,no,True,ENSG00000153107,Anaphase-promoting complex subunit 1 (APC1) (Cyclosome subunit 1) (Mitotic checkpoint regulator) (Testis-specific gene 24 protein),,,,3.825,3.491,17751,8438,-0.132,,"APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409; APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143; APC/C:Cdc20 Mediated Degradation Of Cyclin B R-HSA-174048; APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409; APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154; APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178; APC:Cdc20 Mediated Degradation Of Cell Cycle Proteins Before Cycle Checkpoint Satisfied R-HSA-179419; Aberrant Regulation Of Mitotic Cell Cycle Due To RB1 Defects R-HSA-9687139; Aberrant Regulation Of Mitotic Exit In Cancer Due To RB1 Defects R-HSA-9687136; Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814; Adaptive Immune System R-HSA-1280218; Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168; Assembly Of Pre-Replicative Complex R-HSA-68867; Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084; CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017; Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184; Cell Cycle Checkpoints R-HSA-69620; Cell Cycle R-HSA-1640170; Cell Cycle, Mitotic R-HSA-69278; Cellular Responses To Stimuli R-HSA-8953897; Cellular Responses To Stress R-HSA-2262752; Cellular Senescence R-HSA-2559583; Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169; Conversion From APC/C:Cdc20 To APC/C:Cdh1 In Late Anaphase R-HSA-176407; DNA Replication Pre-Initiation R-HSA-69002; DNA Replication R-HSA-69306; Disease R-HSA-1643685; Diseases Of Mitotic Cell Cycle R-HSA-9675126; Gene Expression (Transcription) R-HSA-74160; Generic Transcription Pathway R-HSA-212436; Immune System R-HSA-168256; Inactivation Of APC/C Via Direct Inhibition Of APC/C Complex R-HSA-141430; M Phase R-HSA-68886; Mitotic Anaphase R-HSA-68882; Mitotic Metaphase And Anaphase R-HSA-2555396; Mitotic Spindle Checkpoint R-HSA-69618; Phosphorylation Of APC/C R-HSA-176412; RNA Polymerase II Transcription R-HSA-73857; Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408; S Phase R-HSA-69242; Senescence-Associated Secretory Phenotype (SASP) R-HSA-2559582; Separation Of Sister Chromatids R-HSA-2467813; Switching Of Origins To A Post-Replicative State R-HSA-69052; Synthesis Of DNA R-HSA-69239; Transcriptional Regulation By VENTX R-HSA-8853884",Cell cycle; Human T-cell leukemia virus 1 infection; Oocyte meiosis; Progesterone-mediated oocyte maturation; Ubiquitin mediated proteolysis,50
ANGPTL3,,,no,True,ENSG00000132855,Angiopoietin-related protein 3 (Angiopoietin-5) (ANG-5) (Angiopoietin-like protein 3),Secreted,hepatoblast,ANGPTL,0.163,0.246,756,594,0.593,Xenobiotic Metabolism,"Assembly Of Active LPL And LIPC Lipase Complexes R-HSA-8963889; NR1H2 And NR1H3 Regulate Gene Expression Linked To Lipogenesis R-HSA-9029558; NR1H2 And NR1H3-mediated Signaling R-HSA-9024446; Plasma Lipoprotein Assembly, Remodeling, And Clearance R-HSA-174824; Plasma Lipoprotein Remodeling R-HSA-8963899; Signal Transduction R-HSA-162582; Signaling By Nuclear Receptors R-HSA-9006931; Transport Of Small Molecules R-HSA-382551",Cholesterol metabolism,10
ANGPTL6,,,no,True,ENSG00000130812,Angiopoietin-related protein 6 (Angiopoietin-like protein 6) (Angiopoietin-related growth factor) (Angiopoietin-related protein 5),Secreted,,,1.964,1.026,9113,2480,-0.936,,,,0
ANGPTL8,,,no,True,ENSG00000130173,Angiopoietin-like protein 8 (Betatrophin) (Lipasin) (Refeeding-induced fat and liver protein),Secreted,subcutaneous fat cell,,0.037,0.064,172,154,0.782,,"Assembly Of Active LPL And LIPC Lipase Complexes R-HSA-8963889; Plasma Lipoprotein Assembly, Remodeling, And Clearance R-HSA-174824; Plasma Lipoprotein Remodeling R-HSA-8963899; Transport Of Small Molecules R-HSA-382551",Cholesterol metabolism,5
ANK1,,,no,True,ENSG00000029534,Ankyrin-1 (ANK-1) (Ankyrin-R) (Erythrocyte ankyrin),Sarcoplasmic reticulum,erythrocyte;enucleate erythrocyte;erythroid lineage cell;reticulocyte;enucleated reticulocyte;erythroblast;primitive red blood cell,,0.163,0.142,755,342,-0.201,heme Metabolism,Asparagine N-linked Glycosylation R-HSA-446203; Axon Guidance R-HSA-422475; CHL1 Interactions R-HSA-447041; COPI-mediated Anterograde Transport R-HSA-6807878; Developmental Biology R-HSA-1266738; ER To Golgi Anterograde Transport R-HSA-199977; Interaction Between L1 And Ankyrins R-HSA-445095; L1CAM Interactions R-HSA-373760; Membrane Trafficking R-HSA-199991; Metabolism Of Proteins R-HSA-392499; Nervous System Development R-HSA-9675108; Neurofascin Interactions R-HSA-447043; NrCAM Interactions R-HSA-447038; Post-translational Protein Modification R-HSA-597592; Transport To Golgi And Subsequent Modification R-HSA-948021; Vesicle-mediated Transport R-HSA-5653656,Proteoglycans in cancer,18
ANKHD1,,,no,True,ENSG00000131503,Ankyrin repeat and KH domain-containing protein 1 (HIV-1 Vpr-binding ankyrin repeat protein) (Multiple ankyrin repeats single KH domain) (hMASK),Cytoplasm,,,6.536,5.017,30331,12126,-0.381,,,,0
ANKK1,,,no,True,ENSG00000170209,Ankyrin repeat and protein kinase domain-containing protein 1,,,,0.235,0.146,1089,353,-0.684,,,,0
ANKRD13D,,,no,True,ENSG00000172932,Ankyrin repeat domain-containing protein 13D,Cell membrane,,,2.877,2.533,13354,6122,-0.184,,,,0
ANKRD17,,,no,True,ENSG00000132466,Ankyrin repeat domain-containing protein 17 (Gene trap ankyrin repeat protein) (Serologically defined breast cancer antigen NY-BR-16),Cytoplasm,,,3.446,3.455,15992,8351,0.004,,,,0
ANKRD30A,,,no,True,ENSG00000148513,Ankyrin repeat domain-containing protein 30A (Serologically defined breast cancer antigen NY-BR-1),,epithelial cell;duct epithelial cell;luminal epithelial cell of mammary gland;mammary gland epithelial cell,,0.423,0.421,1964,1018,-0.007,,,,0
ANKRD40,,,no,True,ENSG00000154945,Ankyrin repeat domain-containing protein 40,,,,2.237,1.706,10381,4123,-0.391,,,,0
ANKRD6,,,no,True,ENSG00000135299,Ankyrin repeat domain-containing protein 6 (Diversin),,type B pancreatic cell,,0.853,0.91,3960,2199,0.093,,,,0
ANKS6,,,no,True,ENSG00000165138,Ankyrin repeat and SAM domain-containing protein 6 (Ankyrin repeat domain-containing protein 14) (SamCystin) (Sterile alpha motif domain-containing protein 6) (SAM domain-containing protein 6),Cell projection,,,1.067,0.871,4953,2105,-0.293,,,,0
ANKZF1,,,no,True,ENSG00000163516,tRNA endonuclease ANKZF1,Cytoplasm,,,7.148,4.551,33175,10999,-0.651,Glycolysis; Hypoxia,,,2
ANO1,,,no,True,ENSG00000131620,Anoctamin-1 (Discovered on gastrointestinal stromal tumors protein 1) (Oral cancer overexpressed protein 2) (Transmembrane protein 16A) (Tumor-amplified and overexpressed sequence 2),Apical cell membrane,basal cell;interstitial cell of Cajal,,0.645,1.192,2993,2880,0.886,KRAS Signaling Up,Ion Channel Transport R-HSA-983712; Stimuli-sensing Channels R-HSA-2672351; Transport Of Small Molecules R-HSA-382551,,4
ANXA10,,,no,True,ENSG00000109511,Annexin A10 (Annexin-10) (Annexin-14),,paneth cell;paneth cell of epithelium of small intestine,,0.063,0.136,291,329,1.118,KRAS Signaling Up,,,1
ANXA2,,,no,True,ENSG00000182718,Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36),Secreted,basal cell of epithelium of bronchus;pancreatic ductal cell;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;bronchial epithelial cell;epithelial cell of urethra;conjunctival epithelial cell;T cell,,16.021,9.825,74352,23747,-0.705,Hypoxia; UV Response Dn,Cytokine Signaling In Immune System R-HSA-1280215; Dissolution Of Fibrin Clot R-HSA-75205; Gene And Protein Expression By JAK-STAT Signaling After Interleukin-12 Stimulation R-HSA-8950505; Hemostasis R-HSA-109582; Immune System R-HSA-168256; Innate Immune System R-HSA-168249; Interleukin-12 Family Signaling R-HSA-447115; Interleukin-12 Signaling R-HSA-9020591; Muscle Contraction R-HSA-397014; Neutrophil Degranulation R-HSA-6798695; Signaling By Interleukins R-HSA-449147; Smooth Muscle Contraction R-HSA-445355,Salmonella infection,15
ANXA3,,,no,True,ENSG00000138772,"Annexin A3 (35-alpha calcimedin) (Annexin III) (Annexin-3) (Inositol 1,2-cyclic phosphate 2-phosphohydrolase) (Lipocortin III) (Placental anticoagulant protein III) (PAP-III)",,pancreatic ductal cell;epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;epithelial cell of uterus;immature neutrophil;myelocyte;tracheobronchial serous cell,,1.519,1.582,7050,3824,0.059,,,,0
ANXA8,,,no,True,ENSG00000265190,Annexin A8 (Annexin VIII) (Annexin-8) (Vascular anticoagulant-beta) (VAC-beta),,basal cell of epithelium of trachea,,3.29,2.039,15267,4928,-0.69,,,,0
AP1M1,,,no,True,ENSG00000072958,AP-1 complex subunit mu-1 (AP-mu chain family member mu1A) (Adaptor protein complex AP-1 subunit mu-1) (Adaptor-related protein complex 1 subunit mu-1) (Clathrin assembly protein complex 1 mu-1 medium chain 1) (Clathrin coat assembly protein AP47) (Clathrin coat-associated protein AP47) (Golgi adaptor HA1/AP1 adaptin mu-1 subunit) (Mu-adaptin 1) (Mu1A-adaptin),Golgi apparatus;Cytoplasmic vesicle,,,5.618,4.537,26072,10966,-0.308,,Adaptive Immune System R-HSA-1280218; Disease R-HSA-1643685; Golgi Associated Vesicle Biogenesis R-HSA-432722; HIV Infection R-HSA-162906; Host Interactions Of HIV Factors R-HSA-162909; Immune System R-HSA-168256; Infectious Disease R-HSA-5663205; Innate Immune System R-HSA-168249; Lysosome Vesicle Biogenesis R-HSA-432720; MHC Class II Antigen Presentation R-HSA-2132295; Membrane Trafficking R-HSA-199991; Nef Mediated Downregulation Of MHC Class I Complex Cell Surface Expression R-HSA-164940; Nef-mediated Downmodulation Of Cell Surface Receptors By Recruitment To Clathrin Adapters R-HSA-164938; Neutrophil Degranulation R-HSA-6798695; Role Of Nef In HIV-1 Replication And Disease Pathogenesis R-HSA-164952; Vesicle-mediated Transport R-HSA-5653656; trans-Golgi Network Vesicle Budding R-HSA-199992,Human immunodeficiency virus 1 infection; Lysosome,19
AP1S3,,,no,True,ENSG00000152056,AP-1 complex subunit sigma-3 (Adaptor protein complex AP-1 subunit sigma-1C) (Adaptor-related protein complex 1 subunit sigma-1C) (Clathrin assembly protein complex 1 sigma-1C small chain) (Golgi adaptor HA1/AP1 adaptin sigma-1C subunit) (Sigma 1C subunit of AP-1 clathrin) (Sigma-adaptin 1C) (Sigma1C-adaptin),Golgi apparatus;Cytoplasmic vesicle membrane,,,0.802,0.855,3720,2066,0.093,,Adaptive Immune System R-HSA-1280218; Disease R-HSA-1643685; Golgi Associated Vesicle Biogenesis R-HSA-432722; HIV Infection R-HSA-162906; Host Interactions Of HIV Factors R-HSA-162909; Immune System R-HSA-168256; Infectious Disease R-HSA-5663205; Lysosome Vesicle Biogenesis R-HSA-432720; MHC Class II Antigen Presentation R-HSA-2132295; Membrane Trafficking R-HSA-199991; Nef Mediated Downregulation Of MHC Class I Complex Cell Surface Expression R-HSA-164940; Nef-mediated Downmodulation Of Cell Surface Receptors By Recruitment To Clathrin Adapters R-HSA-164938; Role Of Nef In HIV-1 Replication And Disease Pathogenesis R-HSA-164952; Vesicle-mediated Transport R-HSA-5653656; trans-Golgi Network Vesicle Budding R-HSA-199992,Human immunodeficiency virus 1 infection; Lysosome,17
AP2A1,,,no,True,ENSG00000196961,AP-2 complex subunit alpha-1 (100 kDa coated vesicle protein A) (Adaptor protein complex AP-2 subunit alpha-1) (Adaptor-related protein complex 2 subunit alpha-1) (Alpha-adaptin A) (Alpha1-adaptin) (Clathrin assembly protein complex 2 alpha-A large chain) (Plasma membrane adaptor HA2/AP2 adaptin alpha A subunit),Cell membrane,Leydig cell;erythroid lineage cell,,5.695,4.115,26428,9945,-0.469,,"Adaptive Immune System R-HSA-1280218; Axon Guidance R-HSA-422475; Beta-catenin Independent WNT Signaling R-HSA-3858494; Cargo Recognition For Clathrin-Mediated Endocytosis R-HSA-8856825; Clathrin-mediated Endocytosis R-HSA-8856828; Developmental Biology R-HSA-1266738; Disease R-HSA-1643685; EPH-Ephrin Signaling R-HSA-2682334; EPH-ephrin Mediated Repulsion Of Cells R-HSA-3928665; Glutamate Binding, Activation Of AMPA Receptors And Synaptic Plasticity R-HSA-399721; HIV Infection R-HSA-162906; Host Interactions Of HIV Factors R-HSA-162909; Immune System R-HSA-168256; Infectious Disease R-HSA-5663205; L1CAM Interactions R-HSA-373760; LDL Clearance R-HSA-8964038; MHC Class II Antigen Presentation R-HSA-2132295; Membrane Trafficking R-HSA-199991; Nef Mediated CD4 Down-regulation R-HSA-167590; Nef Mediated CD8 Down-regulation R-HSA-182218; Nef-mediated Downmodulation Of Cell Surface Receptors By Recruitment To Clathrin Adapters R-HSA-164938; Nervous System Development R-HSA-9675108; Neuronal System R-HSA-112316; Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314; PCP/CE Pathway R-HSA-4086400; Plasma Lipoprotein Assembly, Remodeling, And Clearance R-HSA-174824; Plasma Lipoprotein Clearance R-HSA-8964043; Potential Therapeutics For SARS R-HSA-9679191; Recycling Pathway Of L1 R-HSA-437239; Retrograde Neurotrophin Signaling R-HSA-177504; Role Of Nef In HIV-1 Replication And Disease Pathogenesis R-HSA-164952; SARS-CoV Infections R-HSA-9679506; Signal Transduction R-HSA-162582; Signaling By NTRK1 (TRKA) R-HSA-187037; Signaling By NTRKs R-HSA-166520; Signaling By Receptor Tyrosine Kinases R-HSA-9006934; Signaling By WNT R-HSA-195721; Trafficking Of GluR2-containing AMPA Receptors R-HSA-416993; Transmission Across Chemical Synapses R-HSA-112315; Transport Of Small Molecules R-HSA-382551; VLDLR Internalisation And Degradation R-HSA-8866427; Vesicle-mediated Transport R-HSA-5653656; WNT5A-dependent Internalization Of FZD2, FZD5 And ROR2 R-HSA-5140745; WNT5A-dependent Internalization Of FZD4 R-HSA-5099900",Endocrine and other factor-regulated calcium reabsorption; Endocytosis; Huntington disease; Synaptic vesicle cycle,48
